nodes,services,secondsexectime,kwhelectricity,contraintsgenerated,quantile_percentage
500,500,14.356707,0.000083,9956,80
500,500,25.275388,0.000143,42712,75
100,100,0.341020,0.000012,79,90
100,100,0.460937,0.000012,907,85
100,100,0.444191,0.000011,927,80
100,100,0.520776,0.000013,1254,80
100,100,0.509022,0.000013,1454,75
100,100,0.682828,0.000016,2313,70
100,100,0.750203,0.000016,2844,65
100,100,0.629467,0.000019,1747,60
100,100,0.672548,0.000025,2453,55
100,100,0.808794,0.000018,3155,50
100,100,0.354104,0.000006,817,90
100,100,0.382336,0.000007,817,90
100,100,0.348134,0.000013,817,90
100,100,0.412344,0.000014,1220,85
100,100,0.440476,0.000012,1220,85
100,100,0.395513,0.000019,1220,85
100,100,0.501336,0.000006,1620,80
100,100,0.500876,0.000020,1620,80
100,100,0.499475,0.000020,1620,80
100,100,0.580914,0.000008,2014,75
100,100,0.482871,0.000019,2014,75
100,100,0.528468,0.000006,2014,75
100,100,0.625476,0.000007,2400,70
100,100,0.662596,0.000007,2400,70
100,100,0.648469,0.000006,2400,70
100,100,0.670729,0.000015,2784,65
100,100,0.621081,0.000007,2784,65
100,100,0.691850,0.000008,2784,65
100,100,0.773361,0.000009,3160,60
100,100,0.786345,0.000009,3160,60
100,100,0.734289,0.000010,3160,60
100,100,0.813418,0.000011,3515,55
100,100,0.817679,0.000015,3515,55
100,100,0.813046,0.000009,3515,55
100,100,0.926856,0.000008,3825,50
100,100,0.871700,0.000010,3825,50
100,100,0.761674,0.000009,3825,50
